medcodeid,term,snomedctconceptid,renal
6201701000006113,haemodialysis concentrate,358240007,1
6201711000006111,hemodialysis concentrate,358240007,1
6210341000006119,peritoneal dialysis catheter,360132007,1
6210351000006117,chronic ambulatory peritoneal dialysis catheter,360133002,1
6241711000006115,nephrotic syndrome secondary to glomerulonephritis,363233007,1
6241721000006111,nephrotic syndrome secondary to systemic disease,363234001,1
663551000006118,failure of sterile precautions during renal dialysis,216933008,1
6665621000006110,haemodialysis-associated secondary amyloidosis of skin,402458002,1
6665631000006113,hemodialysis-associated secondary amyloidosis of skin,402458002,1
6669781000006118,skin lesion associated with haemodialysis,402762007,1
6669791000006115,skin lesion associated with hemodialysis,402762007,1
6686181000006114,haemodialysis-associated pseudoporphyria,403732009,1
6686191000006112,hemodialysis-associated pseudoporphyria,403732009,1
6686201000006110,pseudoporphyria in haemodialysis,403732009,1
6686211000006113,pseudoporphyria in hemodialysis,403732009,1
6686221000006117,haemodialysis-associated pruritus,403733004,1
6686231000006119,hemodialysis-associated pruritus,403733004,1
6686241000006112,pruritus due to haemodialysis,403733004,1
6686251000006114,pruritus due to hemodialysis,403733004,1
6703951000006115,peritoneal dialysis leakage,404813001,1
6707481000006110,haemodialysis access site status,405044002,1
6707491000006113,hemodialysis access site status,405044002,1
6707501000006117,haemodialysis access status,405044002,1
6707511000006119,hemodialysis access status,405044002,1
6765381000006112,haemodialysis-associated hypotension,408667000,1
6765391000006110,hemodialysis-associated hypotension,408667000,1
677461000006115,"nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis",197596007,1
677471000006110,"nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis",197598008,1
677481000006113,"nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis",197597003,1
677561000006119,nephrotic syndrome in systemic lupus erythematosus,68815009,1
677621000006112,nephrotic syndrome with membranoproliferative glomerulonephritis,197591002,1
677941000006114,nephritis - chronic,197707007,1
678061000006111,nephropathy - chronic,90708001,1
6932431000006113,fluoroscopic angiography of renal transplant,419139005,1
6932441000006115,renal transplant angiogram,419139005,1
6933851000006114,fluoroscopic angioplasty of renal transplant,419224002,1
6933861000006111,fluoroscopy and angioplasty of renal transplant,419224002,1
6947401000006116,haemodialysis fluid,420051002,1
6947411000006118,hemodialysis fluid,420051002,1
6948341000006114,fluoroscopic venography of renal transplant,420106004,1
6948351000006111,renal transplant venogram,420106004,1
703481000006116,microcystic type congenital nephrotic syndrome,197601003,1
7068291000006112,extracorporeal albumin hemodialysis,427053002,1
7083761000006118,procedure involving peritoneal dialysis catheter,428118009,1
7083771000006113,peritoneal dialysis catheter procedure,428118009,1
7090481000006112,hypertension secondary to kidney transplant,428575007,1
7094321000006114,pretransplant evaluation of kidney recipient,428830000,1
7095851000006114,dependence on peritoneal dialysis due to end stage renal disease,428937001,1
7096521000006114,dependence on haemodialysis due to end stage renal disease,428982002,1
7096531000006112,dependence on hemodialysis due to end stage renal disease,428982002,1
710221000006113,finnish congenital nephrotic syndrome,197601003,1
7103511000006119,disorder related to renal transplantation,429451003,1
7130251000006116,mechanical complication of peritoneal dialysis catheter,431028002,1
713611000006110,mechanical failure of instrument or apparatus during kidney dialysis,269698004,1
713671000006118,mechanical failure of apparatus during renal dialysis,269698004,1
7147781000006115,ckd stage 4,431857002,1
7148101000006112,peritonitis due to infected peritoneal dialysis catheter,431873008,1
7150601000006116,us doppler scan of transplanted kidney,431988002,1
7150611000006118,doppler ultrasonography (us) of transplanted kidney,431988002,1
7150621000006114,doppler ultrasonography of transplanted kidney,431988002,1
7150631000006112,doppler ultrasound scan of transplanted kidney,431988002,1
7150641000006119,doppler ultrasound of transplanted kidney,431988002,1
7164581000006111,fluoroscopy guided insertion of peritoneal dialysis catheter,432654009,1
7164591000006114,fluoroscopic guidance for insertion of peritoneal dialysis catheter,432654009,1
7164601000006118,insertion of peritoneal dialysis catheter using fluoroscopy guidance,432654009,1
7164611000006115,peritoneal dialysis catheter insertion,432654009,1
7174791000006111,ckd stage 3,433144002,1
7174851000006111,ckd stage 5,433146000,1
7207581000006116,laparoscopic insertion of peritoneal dialysis catheter,438341004,1
7207591000006118,replacement of peritoneal dialysis catheter,438342006,1
7212371000006110,specimen from transplanted kidney obtained by biopsy,438661003,1
7212381000006113,renal transplant biopsy sample,438661003,1
7213991000006119,doppler ultrasonography of arteriovenous fistula for haemodialysis,438787007,1
7214001000006111,doppler ultrasonography of arteriovenous fistula for hemodialysis,438787007,1
7214301000006113,tissue specimen from transplanted kidney,438804005,1
7218201000006110,peritoneal dialysis catheter in situ,439073006,1
7220891000006111,measurement of static venous pressure in haemodialysis vascular access,439278006,1
7220901000006110,measurement of static venous pressure in hemodialysis vascular access,439278006,1
7221961000006117,peritoneal dialysis catheter fell out,439360004,1
7224371000006114,shaving of peritoneal dialysis catheter cuff,439534001,1
7230311000006111,measurement of recirculation in haemodialysis vascular access,439976001,1
7230321000006115,measurement of recirculation in hemodialysis vascular access,439976001,1
7234181000006112,peritoneal dialysis subcutaneous leakage,440228000,1
7235301000006116,peritoneal dialysis pleural leakage,440310004,1
7237321000006119,magnetic resonance angiography of transplanted kidney,440449002,1
7237331000006116,mr angiography of transplanted kidney,440449002,1
7238471000006113,biopsy of transplanted kidney using ultrasound guidance,440512006,1
7238481000006111,ultrasonography guided biopsy of transplanted kidney,440512006,1
7239051000006116,malposition of peritoneal dialysis catheter,440551001,1
