code,coding_system,description,entity,list_name,upload_date
Eu23011,Read,[X]Bouffee delirante,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23012,Read,[X]Cycloid psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23100,Read,[X]Acute polymorphic psychot disord with symp of schizophren,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23112,Read,[X]Cycloid psychosis with symptoms of schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23200,Read,[X]Acute schizophrenia-like psychotic disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23211,Read,[X]Brief schizophreniform disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23212,Read,[X]Brief schizophrenifrm psych,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23214,Read,[X]Schizophrenic reaction,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23300,Read,[X]Other acute predominantly delusional psychotic disorders,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23312,Read,[X]Psychogenic paranoid psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23y00,Read,[X]Other acute and transient psychotic disorders,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23z00,Read,[X]Acute and transient psychotic disorder; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
