code,coding_system,description,entity,list_name,upload_date
6274,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62819,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62927,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62950,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63216,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63268,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63370,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63441,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63481,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
6360,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63763,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63859,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63916,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
63953,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
6405,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
64423,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
64442,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
64785,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
648,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65165,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65618,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65666,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65738,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65771,CPRD_product_code,Sertraline,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65809,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65888,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65892,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
65899,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
66292,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
66405,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
66412,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
66413,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
66437,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
66560,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
66744,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
67,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
