medcodeid,observations,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,depression,observations_2024_06,originalreadcode_2024_06,cleansedreadcode_2024_06,snomedctconceptid_2024_06,snomedctdescriptionid_2024_06,term_2024_06,depression_2024_06,JKQ_2024_06
"182771000006112",12844,"E1133","E113300","764611000000100","1696221000000111","Recurrent major depressive episodes, severe",1,12037,"E1133","E113300","764611000000100","1696221000000111","Recurrent major depressive episodes, severe",1,1
"182801000006114",683,"E1135","E113500","764691000000109","1696381000000115","Recurrent major depressive episodes,partial/unspec remission",1,677,"E1135","E113500","764691000000109","1696381000000115","Recurrent major depressive episodes,partial/unspec remission",1,1
"367061000006114",2135,"Eu315","Eu31500","765176007","3657334019","Psychosis and severe depression co-occurrent and due to bipolar affective disorder",1,2011,"Eu315","Eu31500","765176007","3657334019","Psychosis and severe depression co-occurrent and due to bipolar affective disorder",1,1
"3767531000006119",137,"^ESCTSE376753","","77911002","129301014","Severe major depression, single episode, with psychotic features, mood-congruent",1,112,"^ESCTSE376753","","77911002","129301014","Severe major depression, single episode, with psychotic features, mood-congruent",1,1
"613781000006118",49845,"E2112","E211200","78667006","130532011","Depressive personality disorder",1,48270,"E2112","E211200","78667006","130532011","Depressive personality disorder",1,1
"376741000006119",3456,"Eu341-1","Eu34111","78667006","130534012","[X]Depressive neurosis",1,3346,"Eu341-1","Eu34111","78667006","130534012","[X]Depressive neurosis",1,1
"399961000006118",10650,"Eu341-3","Eu34113","78667006","130534012","Depressive neurosis",1,10285,"Eu341-3","Eu34113","78667006","130534012","Depressive neurosis",1,1
"882421000006113",2556,"E2112-99","E211299","78667006","882421000006113","Depressive personality",1,2540,"E2112-99","E211299","78667006","882421000006113","Depressive personality",1,1
"294825017",62144,"E1121","E112100","79298009","131561018","Mild major depression, single episode",1,60325,"E1121","E112100","79298009","131561018","Mild major depression, single episode",1,1
"1715181000006114",16115,"Eu326","Eu32600","832007","2451016","Moderate major depression",1,15295,"Eu326","Eu32600","832007","2451016","Moderate major depression",1,1
"474171000006112",107349,"E112-1","E112.11","83458005","138421012","Agitated depression",1,102353,"E112-1","E112.11","83458005","138421012","Agitated depression",1,1
"138421012",159889,"E135","E135.00","83458005","138421012","Agitated depression",1,153668,"E135","E135.00","83458005","138421012","Agitated depression",1,1
"13962531000006113",3417,"^ESCT1396253","","870191006","3968431012","Follow up for depression",1,2663,"^ESCT1396253","","870191006","3968431012","Follow up for depression",1,1
"13974501000006115",1275786,"^ESCT1397450","","871840004","3977029010","Depressive episode",1,1217067,"^ESCT1397450","","871840004","3977029010","Depressive episode",1,1
"675861000006113",989244,"E204","E204.00","87414006","144929012","Reactive depression (situational)",1,930416,"E204","E204.00","87414006","144929012","Reactive depression (situational)",1,1
"426911000006111",9118,"Eu32-1","Eu32.11","87414006","2951871015","[X]Single episode of depressive reaction",1,8977,"Eu32-1","Eu32.11","87414006","2951871015","[X]Single episode of depressive reaction",1,1
"426941000006110",1632,"Eu32-2","Eu32.12","87414006","2951871015","[X]Single episode of psychogenic depression",1,1620,"Eu32-2","Eu32.12","87414006","2951871015","[X]Single episode of psychogenic depression",1,1
"426971000006119",9977,"Eu32-3","Eu32.13","87414006","2951871015","[X]Single episode of reactive depression",1,9815,"Eu32-3","Eu32.13","87414006","2951871015","[X]Single episode of reactive depression",1,1
"359121000006116",457428,"Eu32z-4","Eu32z14","87414006","2951871015","Reactive depression",1,442421,"Eu32z-4","Eu32z14","87414006","2951871015","Reactive depression",1,1
"882401000006115",77606,"E204-99","E204.99","87414006","882401000006115","Reactive (neurotic) depression",1,75418,"E204-99","E204.99","87414006","882401000006115","Reactive (neurotic) depression",1,1
"1715771000006112",1575,"Eu325","Eu32500","87512008","145089017","Mild major depression",1,1492,"Eu325","Eu32500","87512008","145089017","Mild major depression",1,1
"909681000006110",6696,"HNGNQRF13","","909681000006106","909681000006110","[RFC] Depression",1,6560,"HNGNQRF13","","909681000006106","909681000006110","[RFC] Depression",1,1
"915501000006119",20,"EMISNQGE6","","915501000006103","915501000006119","Geriatric depression scale - 5 points",1,15,"EMISNQGE6","","915501000006103","915501000006119","Geriatric depression scale - 5 points",1,1
"915511000006116",12,"EMISNQGE7","","915511000006100","915511000006116","Geriatric depression scale - <6 points",1,12,"EMISNQGE7","","915511000006100","915511000006116","Geriatric depression scale - <6 points",1,1
"915521000006112",28,"EMISNQGE8","","915521000006108","915521000006112","Geriatric depression scale - 6 points",1,27,"EMISNQGE8","","915521000006108","915521000006112","Geriatric depression scale - 6 points",1,1
"915531000006110",28,"EMISNQGE9","","915531000006106","915531000006110","Geriatric depression scale - 7 points",1,27,"EMISNQGE9","","915531000006106","915531000006110","Geriatric depression scale - 7 points",1,1
"915541000006117",26,"EMISNQGE10","","915541000006101","915541000006117","Geriatric depression scale - 8 points",1,25,"EMISNQGE10","","915541000006101","915541000006117","Geriatric depression scale - 8 points",1,1
"915551000006115",26,"EMISNQGE11","","915551000006104","915551000006115","Geriatric depression scale - 9 points",1,24,"EMISNQGE11","","915551000006104","915551000006115","Geriatric depression scale - 9 points",1,1
"915561000006118",24,"EMISNQGE12","","915561000006102","915561000006118","Geriatric depression scale - 10 points",1,22,"EMISNQGE12","","915561000006102","915561000006118","Geriatric depression scale - 10 points",1,1
"915571000006113",27,"EMISNQGE13","","915571000006109","915571000006113","Geriatric depression scale - 11 points",1,27,"EMISNQGE13","","915571000006109","915571000006113","Geriatric depression scale - 11 points",1,1
"915581000006111",20,"EMISNQGE14","","915581000006107","915581000006111","Geriatric depression scale - 12 points",1,20,"EMISNQGE14","","915581000006107","915581000006111","Geriatric depression scale - 12 points",1,1
"915591000006114",27,"EMISNQGE15","","915591000006105","915591000006114","Geriatric depression scale - 13 points",1,26,"EMISNQGE15","","915591000006105","915591000006114","Geriatric depression scale - 13 points",1,1
"915601000006118",9,"EMISNQGE16","","915601000006102","915601000006118","Geriatric depression scale - 14 points",1,9,"EMISNQGE16","","915601000006102","915601000006118","Geriatric depression scale - 14 points",1,1
"915611000006115",11,"EMISNQGE17","","915611000006104","915611000006115","Geriatric depression scale - 15 points",1,9,"EMISNQGE17","","915611000006104","915611000006115","Geriatric depression scale - 15 points",1,1
